"Year","Month","Day","End_Year","End_Month","Headline","Text_Preview","Group","Type","Tag","Media_URL"
2003,10,17,,,"Guerra del Gas — caída de Sánchez de Lozada","La Guerra del Gas de septiembre-octubre de 2003 fue la movilización contra el proyecto de exportación de gas por puerto chileno. El saldo: 67 muertos (la mayoría aymaras de El Alto), ","Eventos","","guerra_gas|octubre_negro|2003|crisis_politica","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/El_Alto_Bolivia.jpg/640px-El_Alto_Bolivia.jpg"
2004,7,18,,,"Referéndum del Gas","El Referéndum Vinculante sobre la Política Energética del 18 de julio de 2004 planteó 5 preguntas sobre la derogación de la Ley de Hidrocarburos 1689, recuperación de la propiedad est","Eventos","","referendum|gas|idh|2004|carlos_mesa","https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Carlos_Mesa_Gisbert.jpg/400px-Carlos_Mesa_Gisbert.jpg"
2004,10,8,,,"Ley 2878 — Promoción y Apoyo al Riego","La Ley 2878 de Promoción y Apoyo al Sector Riego para la Producción Agropecuaria y Forestal, promulgada el 8 de octubre de 2004 bajo Carlos Mesa, creó el Servicio Nacional de ","Leyes","","riego|senari|ley_2878|2004","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Irrigation_canal_Bolivia.jpg/640px-Irrigation_canal_Bolivia.jpg"
2005,5,17,,,"Ley 3058 de Hidrocarburos — origen del IDH","La Ley 3058 de Hidrocarburos, promulgada el 17 de mayo de 2005 tras la renuncia parcial de Mesa, creó el Impuesto Directo a los Hidrocarburos (IDH) del 32% sobre la p","Leyes","","idh|hidrocarburos|ley_3058|2005","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Planta_separadora_Gran_Chaco.jpg/640px-Planta_separadora_Gran_Chaco.jpg"
2005,12,18,,,"Elecciones generales — triunfo del MAS","El 18 de diciembre de 2005, Evo Morales Ayma y el Movimiento al Socialismo (MAS-IPSP) ganaron la elección presidencial con 53.74% — la primera mayoría absoluta en la ","Eventos","","elecciones|mas|evo_morales|2005|fin_neoliberal","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Evo_Morales_2006.jpg/400px-Evo_Morales_2006.jpg"
2006,1,22,2019,11,"Era Evo Morales Ayma","Primer presidente indígena de Bolivia (22 ene 2006 - 10 nov 2019). 14 años de gobierno del MAS-IPSP definieron el giro más profundo de la política agropecuaria boliviana en medio siglo: creación del M","","era","era|morales|MAS","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Evo_Morales_-_Cropped.jpg/640px-Evo_Morales_-_Cropped.jpg"
2006,1,22,,,"Posesión de Evo Morales y creación del MDRyT","Evo Morales Ayma asume la presidencia el 22 de enero de 2006 tras ganar con 53,7% en diciembre de 2005. Casi simultáneamente, la Ley 3351 de Organización del Poder Ejecutivo (21 feb 2006) y su reglame","Institucional","","posesion|MDRyT|gabinete","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Evo_Morales_-_Cropped.jpg/640px-Evo_Morales_-_Cropped.jpg"
2006,6,16,,,"Plan Nacional de Desarrollo """"Bolivia Digna, Soberana, Productiva""""","El PND presentado el 16 de junio de 2006 y formalmente aprobado por DS 29272 del 12 de septiembre de 2007 es la carta de navegación macro del primer gobierno Morales. Cuatro pilares (Bolivia Di","Institucional","","PND|vivir_bien|planificacion","https://www.planificacion.gob.bo/uploads/marco-legal/29272_ds.pdf"
2006,11,28,,,"Ley 3545 — Reconducción Comunitaria de la Reforma Agraria","Promulgada el 28 de noviembre de 2006, la Ley 3545 modifica la Ley 1715 (INRA, 1996) y reorienta el saneamiento de tierras hacia un enfoque comunitario-indígena. Incorpora el cumplimiento estricto de ","Leyes","","tierras|reforma_agraria|INRA|FES","https://www.inra.gob.bo/wp-content/uploads/2023/08/LEY_N_3545_GOB.pdf"
2007,1,1,,,"Creación del Banco de Desarrollo Productivo (BDP)","El DS 28999 del 1 de enero de 2007 transforma NAFIBO S.A.M. (Nacional Financiera Boliviana, creada por Ley 1670/1995) en el Banco de Desarrollo Productivo — Sociedad Anónima Mixta (BDP-SAM), br","Institucional","","BDP|credito|NAFIBO","https://www.bdp.com.bo/wp-content/uploads/2022/11/memoria2009.pdf"
2007,8,15,,,"DS 29230 — Creación de EMAPA","El Decreto Supremo 29230 del 15 de agosto de 2007 crea la Empresa de Apoyo a la Producción de Alimentos (EMAPA) como empresa pública bajo tuición del entonces Ministerio de Desarrollo Rural, Ag","Institucional","","EMAPA|empresa_publica|precios","https://emapa.gob.bo/wp-content/uploads/2025/02/INFORME-DE-GESTION.pdf"
2007,11,28,,,"Ley 3791 — Renta Dignidad","La Ley 3791 del 28 de noviembre de 2007 crea la Renta Universal de Vejez (Renta Dignidad), pensión no contributiva para personas de 60+ años, operativizada por DS 29400 (29 dic 2007). Financiad","Leyes","","transferencias|renta_dignidad|IDH","https://www.aps.gob.bo/files/webdocs/DJ/normativa/renta_dignidad/PRINCIPALES/Ley_3791.pdf"
2008,6,25,,,"DS 29611 — Creación del INIAF","El DS 29611 del 25 de junio de 2008 crea el Instituto Nacional de Innovación Agropecuaria y Forestal (INIAF) como institución pública descentralizada bajo tuición del MDRyT. Absorbe funciones y","Institucional","","INIAF|investigacion|semillas|extension","http://portal.iniaf.gob.bo/wp-content/uploads/2018/03/logo-iniaf.png"
2009,2,7,,,"Nueva Constitución Política del Estado — Soberanía Alimentaria","Promulgada el 7 de febrero de 2009 tras referéndum aprobatorio del 25 de enero (61,4% sí), la nueva CPE funda el Estado Plurinacional de Bolivia. Los artículos 405-408 consagran el desarroll","Leyes","","constitucion|soberania_alimentaria|transgenicos","https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Constituci%C3%B3n_Pol%C3%ADtica_del_Estado_de_Bolivia_de_2009.jpg/480px-Constituci%C3%B3n_Pol%C3%ADtica_del_Estado_de_Bolivia_de_2009.jpg"
2010,12,21,,,"Ley 071 — Derechos de la Madre Tierra","La Ley Corta 071 del 21 de diciembre de 2010 reconoce a la Madre Tierra como sujeto colectivo de interés público, titular de derechos propios (vida, diversidad, agua, aire limpio, equilibrio, r","Leyes","","madre_tierra|ambiental|pachamama","https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Pachamama2.jpg/640px-Pachamama2.jpg"
2011,6,18,2019,11,"Programa Mi Agua / MIAGUA I-V","El Programa Más Inversión para el Agua (MIAGUA) lanzado en 2011 es el mayor programa de inversión rural de la era Morales en agua y riego. MIAGUA I (2011-2015) financiado con préstamo CAF de US","Programas","","miagua|mi_riego|CAF|riego","https://www.caf.com/media/4672383/eval-expost-bolivia-miagua-iv.pdf"
2011,6,26,,,"Ley 144 — Revolución Productiva Comunitaria Agropecuaria","Promulgada el 26 de junio de 2011, la Ley 144 es el marco legal sectorial más importante de la era Morales. Establece como finalidad la soberanía alimentaria para el Vivir Bien mediante 15 polí","Leyes","","ley144|revolucion_productiva|OECOM|seguro_pachamama","https://www.ftierra.org/images/stories/libros/2011_ley144.jpg"
2011,11,27,2019,12,"Programa CRIAR — Apoyos Directos Agroalimentarios","El Programa de Apoyos Directos para la Creación de Iniciativas Alimentarias Rurales (CRIAR) fue financiado por contrato de préstamo BID firmado el 27 de noviembre de 2009 (USD 20 millones) e im","Programas","","CRIAR|BID|vouchers|agricultura_familiar","https://publications.iadb.org/publications/spanish/document/CRIAR-Bolivia-Programa-de-Apoyos-Directos-para-la-Creaci%C3%B3n-de-Iniciativas-Agroalimentarias-Rurales.pdf"
2012,10,15,,,"Ley 300 — Marco Madre Tierra y Desarrollo Integral","La Ley Marco 300 del 15 de octubre de 2012 operativiza los derechos reconocidos en la Ley 071 y los concilia con el imperativo del desarrollo integral para Vivir Bien. Define 17 principios (entre ello","Leyes","","ley300|madre_tierra|APMT|bosques","https://www.fao.org/fileadmin/user_upload/FAO-countries/Bolivia/docs/Ley_300.pdf"
2013,1,11,,,"Ley 337 — Apoyo a la Producción de Alimentos y Restitución de Bosques","La Ley 337 del 11 de enero de 2013 establece un régimen excepcional para predios con desmontes no autorizados entre el 12 de julio de 1996 y el 31 de diciembre de 2011. A cambio de adherirse al","Leyes","","ley337|desmonte|perdón|ABT|bosques","https://faolex.fao.org/docs/pdf/bol120030.pdf"
2013,8,21,,,"Ley 393 — Servicios Financieros","La Ley 393 del 21 de agosto de 2013 reemplaza la Ley 1488 (1993) y reforma integralmente el sistema financiero con énfasis productivo y social. Faculta al Órgano Ejecutivo a fijar por DS tasas máxi","Leyes","","ley393|credito|banca|cartera_productiva","https://www.economiayfinanzas.gob.bo/images/Logo_mefp.png"
2013,12,17,,,"Agenda Patriótica 2025 (13 Pilares)","Presentada por Evo Morales ante la Asamblea Legislativa Plurinacional el 22 de enero de 2013 y consolidada durante ese año como hoja de ruta del Bicentenario (2025), la Agenda Patriótica 2025 o","Institucional","","agenda_patriotica|pilar_6|pilar_8|bicentenario","https://observatorioplanificacion.cepal.org/sites/default/files/plan/files/agenda%20patriotica%202025%20PDGES.pdf"
2014,6,26,,,"Plan del Sector Desarrollo Agropecuario """"Revolución Rural y Agraria"""" (PSDA 2014-2018)","El Plan del Sector Desarrollo Agropecuario """"Revolución Rural y Agraria"""" 2014-2018, elaborado por el MDRyT y aprobado por Resolución Ministerial, operativiza la Ley 144 y la Agenda Patriótica en el s","Institucional","","PSDA|plan_sectorial|MDRyT","https://faolex.fao.org/docs/pdf/bol148581.pdf"
2014,12,29,,,"Ley 622 — Alimentación Escolar","La Ley 622 del 29 de diciembre de 2014 regula la Alimentación Complementaria Escolar (ACE) en el marco de la soberanía alimentaria y la economía plural. Obliga a las entidades territoriales aut","Leyes","","ley622|ACE|compras_publicas|OECAS","https://www.fao.org/fileadmin/templates/righttofood/documents/project_b/bolivia/LEY_ACE_n622.pdf"
2015,4,21,2015,4,"Cumbre Agropecuaria """"Sembrando Bolivia""""","La Cumbre """"Sembrando Bolivia"""", del 21-23 de abril de 2015 en Santa Cruz, reúne por primera vez al gobierno, la CAO (agroindustria), pequeños productores, indígenas e interculturales en cinco mesas: ","Eventos","","cumbre|sembrando_bolivia|CAO|giro_productivista","https://www.cipca.org.bo/docs/publications/es/8_cumbre-agropecuaria-sembrando-bolivia-resultados-ecos-y-primeros-pasos-a-su-implementacion-1.pdf"
2015,9,29,,,"Ley 741 — Desmonte hasta 20 ha","Promulgada por Evo Morales en Montero el 29 de septiembre de 2015, la Ley 741 autoriza el desmonte de hasta 20 hectáreas en pequeñas propiedades, propiedades comunitarias/colectivas y asentamie","Leyes","","ley741|desmonte_20ha|PDM20|interculturales","https://ftierra.org/images/galeria/ley741.jpg"
2016,12,15,2020,12,"PSARDI — Plan del Sector Agropecuario y Rural con Desarrollo Integral","El Plan del Sector Agropecuario y Rural con Desarrollo Integral (PSARDI) 2016-2020, construido participativamente por el MDRyT durante 2016, reemplaza al PSDA y alinea al sector con el PDES 201","Institucional","","PSARDI|PDES|plan_sectorial","https://www.planificacion.gob.bo/pdes/pdes2016-2020.pdf"
2019,7,9,,,"DS 3973 — Ampliación del chaqueo en Santa Cruz y Beni","El Decreto Supremo 3973 del 9 de julio de 2019 modifica el art. 5 del DS 26075 (2001) y autoriza quemas controladas (chaqueo) y desmontes incluso en Tierras de Producción Forestal Permanente (TPFP)","Leyes","","DS3973|chaqueo|TPFP|chiquitania","https://es.mongabay.com/wp-content/uploads/sites/4/2019/08/Chiquitania_incendio.jpg"
2019,8,1,2019,10,"Incendios masivos en la Chiquitania","Entre agosto y octubre de 2019, los incendios forestales en Bolivia arrasan 5,3 millones de hectáreas a nivel nacional (FAN, 25 sep 2019), de las cuales ~73% en la Chiquitanía (Santa Cruz): 1.4","Eventos","","incendios|chiquitania|53_millones_ha|FAN","https://es.mongabay.com/wp-content/uploads/sites/4/2019/08/Chiquitania_incendio_fuego.jpg"
2019,10,20,2019,11,"Crisis política y renuncia de Evo Morales","Las elecciones generales del 20 de octubre de 2019 desencadenan la mayor crisis política boliviana del siglo XXI. La interrupción del TREP, la denuncia de fraude por la OEA (informe del 10 de noviembr","Eventos","","crisis_2019|renuncia|OEA|fin_era_morales","https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Evo_Morales_Presidente_Bolivia.jpg/640px-Evo_Morales_Presidente_Bolivia.jpg"
2019,11,10,2020,11,"Crisis política post-electoral y gobierno transitorio","Tras las elecciones del 20 de octubre 2019, la OEA observa irregularidades y el 10 de noviembre Evo Morales renuncia y sale al exilio. El 12 de noviembre la senadora Jeanine Áñez (Demócratas) asume la","Eventos","era","crisis_politica|transicion|anez","https://upload.wikimedia.org/wikipedia/commons/3/3e/Jeanine_%C3%81%C3%B1ez_asumiendo_la_presidencia.jpg"
2019,11,12,,,"Áñez asume presidencia interina","El 12 de noviembre 2019 Jeanine Áñez (presidenta del Senado) se proclama Presidenta Constitucional Interina en sesión sin quórum del MAS, invocando la Sentencia Constitucional Plurinacional 0003/01 de","Institucional","","anez|MDRyT|gabinete","https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Jeanine_%C3%81%C3%B1ez_oficial.jpg/640px-Jeanine_%C3%81%C3%B1ez_oficial.jpg"
2020,3,17,,,"Cuarentena COVID-19 y primeros decretos sectoriales","El 17 de marzo 2020 el gobierno Áñez declara cuarentena total por COVID-19 (DS 4196). El sector agropecuario es declarado esencial pero sufre disrupción fuerte en cadenas (leche, hortalizas, carne, pa","Eventos","","covid|cuarentena|shock","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Jeanine_%C3%81%C3%B1ez_en_rueda_de_prensa_por_coronavirus.jpg/800px-Jeanine_%C3%81%C3%B1ez_en_rueda_de_prensa_por_coronavirus.jpg"
2020,5,7,,,"DS 4232 — Apertura OGM de emergencia","El 7 de mayo 2020 el gobierno Áñez emite el DS 4232, que autoriza al Comité Nacional de Bioseguridad a establecer procedimientos abreviados para evaluar eventos genéticamente modificados de maíz, caña","Leyes","","DS_4232|OGM|soya|bioseguridad","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Soybean_field.jpg/800px-Soybean_field.jpg"
2020,10,18,,,"Elecciones 2020 — Arce gana en primera vuelta","El 18 de octubre 2020 Luis Arce (MAS-IPSP) gana en primera vuelta con 55,1% frente a Carlos Mesa (28,8%) y Luis Fernando Camacho (14%). El resultado valida electoralmente el retorno del MAS y abre el ","Eventos","","elecciones|arce|MAS","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Luis_Arce_-_Wikimedia_Commons_-_2022.jpg/640px-Luis_Arce_-_Wikimedia_Commons_-_2022.jpg"
2020,11,8,,,"Posesión Luis Arce — fin de la transición","El 8 de noviembre 2020 Luis Arce y David Choquehuanca son investidos Presidente y Vicepresidente del Estado Plurinacional. En agropecuaria designa a Remmy Gonzales Atila (MDRyT) y consolida la agenda ","Institucional","","arce|MAS|posesion","https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Luis_Arce_2020.jpg/640px-Luis_Arce_2020.jpg"
2020,12,28,,,"Ley 1357 — Impuesto a las Grandes Fortunas (IGF)","El 28 de diciembre 2020 se promulga la Ley 1357 del Impuesto a las Grandes Fortunas (IGF), primer impuesto permanente al patrimonio neto >Bs 30 millones (aprox. USD 4,3 M) con alícuotas progresivas 1,","Leyes","","IGF|tributario|grandes_fortunas","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Palacio_Legislativo_Bolivia.jpg/800px-Palacio_Legislativo_Bolivia.jpg"
2021,3,31,,,"DS 4497 — reversión de la vía abreviada OGM","El 31 de marzo 2021 el gobierno Arce emite el DS 4497, que abroga los incisos del DS 4232/2020 que habilitaban procedimientos abreviados para eventos transgénicos en maíz, caña, algodón y trigo. Deja ","Leyes","","DS_4497|OGM|reversion","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Bandera_de_Bolivia_%28Estado%29.svg/640px-Bandera_de_Bolivia_%28Estado%29.svg.png"
2021,12,1,,,"DS 4632 — Programa Nacional Pesca y Acuicultura 2022-2025","El 1 de diciembre 2021 el gobierno Arce promulga el DS 4632, que crea seis programas nacionales 2022-2025 entre ellos el Programa Nacional para el Desarrollo de la Pesca y la Acuicultura Sostenible en","Leyes","","DS_4632|pesca|acuicultura|programa","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Lago_Titicaca_Bolivia.jpg/800px-Lago_Titicaca_Bolivia.jpg"
2022,6,30,,,"PAR III aprobado por el Banco Mundial","El 30 de junio 2022 el Directorio del Banco Mundial aprueba el Proyecto de Alianzas Rurales III (P176869) por USD 300 millones (Bs ~2.058 M) orientado a productividad rural, inclusión de mujeres y jóv","Programas","","PAR_III|BM|EMPODERAR","https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/World_Bank_Group_logo.svg/640px-World_Bank_Group_logo.svg.png"
2022,10,22,2022,11,"Paro cívico de Santa Cruz por el Censo (36 días)","Entre el 22 de octubre y el 26 de noviembre 2022, el Comité Pro Santa Cruz lidera un paro cívico de 36 días exigiendo que el Censo Nacional de Población y Vivienda se realice en 2023 (no en 2024) para","Eventos","","paro_censo|santa_cruz|agronegocio","https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Catedral_Santa_Cruz_Bolivia.jpg/800px-Catedral_Santa_Cruz_Bolivia.jpg"
2023,1,1,2023,12,"Crisis de divisas y dólar paralelo","Desde febrero 2023 el BCB suspende la venta directa de dólares al público y Bolivia ingresa en un régimen de escasez estructural de divisas. Las Reservas Internacionales Netas caen de USD 15.495 M (20","Externo","era","divisas|RIN|dolar_paralelo","https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Banco_Central_de_Bolivia.jpg/800px-Banco_Central_de_Bolivia.jpg"
2023,3,1,2023,10,"Sequía severa 2023 en el Altiplano y Chaco","El ciclo 2022-2023 es clasificado por SENAMHI como evento de sequía severa El Niño, con déficit de lluvia >50% en Chaco, Valles y Altiplano sur. Pérdidas en papa, quinua, maíz, trigo y ganadería estim","Externo","","sequia|nino|altiplano","https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Salar_de_Uyuni_in_dry_season.jpg/800px-Salar_de_Uyuni_in_dry_season.jpg"
2023,6,30,,,"Política de Biocombustibles — planta El Alto","En 2022 se emite el DS 4760 (política de biocombustibles, antecedida por la Ley 1098/2018) que autoriza mezcla de etanol y biodiésel con combustibles fósiles y posterior producción estatal. En junio-2","Programas","","biodiesel|YPFB|oleiferas","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/YPFB_refinery.jpg/800px-YPFB_refinery.jpg"
2023,12,28,,,"Ley 1546 — Presupuesto 2024","El 28 de diciembre 2023 se promulga la Ley Financial N° 1546 del Presupuesto General del Estado 2024. Para el MDRyT asigna Bs 1.539,41 M iniciales, distribuidos entre Administración Central, EMPODERAR","Leyes","","Ley_1546|PGE_2024|MDRyT","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Palacio_Legislativo_Bolivia.jpg/800px-Palacio_Legislativo_Bolivia.jpg"
2024,1,1,2024,12,"Escasez de combustibles — impacto en siembra/cosecha","A lo largo de 2024, YPFB reporta escasez estructural de diésel y gasolina por limitaciones de divisas para importación. Filas de hasta 48h en estaciones, racionamiento por placa, desabastecimiento cró","Externo","era","combustibles|diesel|escasez|YPFB","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Gasolinera_YPFB.jpg/800px-Gasolinera_YPFB.jpg"
2024,3,23,,,"Censo Nacional 2024","El 23 de marzo 2024 el INE ejecuta el Censo Nacional de Población y Vivienda, con cuestionario agropecuario simplificado. Los resultados preliminares (agosto 2024) revelan una población total de 11,31","Institucional","","censo_2024|INE|demografia","https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/INE_Bolivia_logo.svg/640px-INE_Bolivia_logo.svg.png"
2024,8,1,2024,10,"Incendios forestales masivos — 10 M ha quemadas","Entre agosto y octubre 2024 Bolivia enfrenta la peor temporada de incendios de su historia reciente. Datos ABT/INRA/MMAyA y monitoreo satelital (INPE-MAAP, Global Forest Watch) estiman >10 millones de","Externo","","incendios|chiquitania|ABT|INRA","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Incendios_Chiquitania_2019.jpg/800px-Incendios_Chiquitania_2019.jpg"
2024,12,31,,,"RPC MDRyT 2024 — ejecución física 54%, financiera 74%","Al cierre fiscal 2024 el MDRyT reporta ejecución financiera consolidada del 74% y física del 54% (RPC Final 2024, p.11). El presupuesto vigente asciende a ~Bs 1.684 M con cambios de MAE en el año (Gon","Institucional","","MDRyT|RPC|ejecucion|PAR_III","https://www.ruralytierras.gob.bo/uploads/RENDICION%20PUBLICA%20DE%20CUENTAS%20INFORME%20FINAL-2024.pdf"
2025,8,17,,,"Elecciones generales 2025 — primera vuelta","El 17 de agosto 2025 se celebran elecciones generales. Tras la implosión del MAS (ruptura Arce-Evo) el resultado de primera vuelta ubica a Rodrigo Paz Pereira (PDC) y Jorge """"Tuto"""" Quiroga (Alianza L","Eventos","","elecciones_2025|fin_MAS|transicion","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Bandera_de_Bolivia_%28Estado%29.svg/640px-Bandera_de_Bolivia_%28Estado%29.svg.png"
2025,10,19,,,"Balotaje 2025 — nuevo gobierno","El 19 de octubre 2025 se celebra la segunda vuelta presidencial. El ganador del balotaje (Paz Pereira / Quiroga según resultado oficial TSE) asume la Presidencia el 8 de noviembre 2025. El cambio de g","Eventos","","balotaje|nuevo_gobierno|transicion_2025","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Bandera_de_Bolivia_%28Estado%29.svg/640px-Bandera_de_Bolivia_%28Estado%29.svg.png"
