"Year","Month","Day","Time","End Year","End Month","End Day","End Time","Display Date","Headline","Text","Media","Media Credit","Media Caption","Media Thumbnail","Type","Group","Background","Tag"
2003,10,17,,,,,,"17 octubre 2003","Guerra del Gas — caída de Sánchez de Lozada","La <strong>Guerra del Gas</strong> de septiembre-octubre de 2003 fue la movilización contra el proyecto de exportación de gas por puerto chileno. El saldo: 67 muertos (la mayoría aymaras de El Alto), renuncia y huida de Gonzalo Sánchez de Lozada el 17 de octubre y asunción de Carlos Mesa. <br><br>Aunque el detonante fue hidrocarburos, el conflicto tiene raíces rurales: la movilización articuló a la CSUTCB, cocaleros del Chapare (liderados por Evo Morales) y comunidades aymaras del altiplano. Marca el fin político del ciclo neoliberal y abre la agenda de nacionalización y reforma agraria profunda. El gasto agropecuario 2003-2004 se contrajo ~15% por la crisis fiscal. <br><br>Fuentes: <a href='https://es.wikipedia.org/wiki/Guerra_del_Gas'>Wikipedia ES</a>; informes CEDLA 2003-2004. <br><br><em>Impacto en el panel</em>: ruptura estructural en <code>spending_agro_pct_total</code> 2003; variable dummy <code>crisis_2003</code>.","media/pre_2006/hito_11.jpg","Wikimedia Commons / CC-BY-SA","El Alto, epicentro de la movilización de octubre 2003",,"","Eventos","","guerra_gas|octubre_negro|2003|crisis_politica"
2004,7,18,,,,,,"18 julio 2004","Referéndum del Gas","El <strong>Referéndum Vinculante sobre la Política Energética</strong> del 18 de julio de 2004 planteó 5 preguntas sobre la derogación de la Ley de Hidrocarburos 1689, recuperación de la propiedad estatal, refundación de YPFB y uso del gas como herramienta geopolítica. El 'Sí' ganó en las cinco con 60-87%. <br><br>Aunque no trató directamente agricultura, el referéndum configuró el régimen fiscal post-2005 (Ley 3058 de Hidrocarburos, 17 mayo 2005) que creó el IDH (Impuesto Directo a los Hidrocarburos) — principal fuente de financiamiento del gasto agro municipal y departamental desde 2006. <br><br>Fuente: Corte Nacional Electoral 2004; <a href='https://es.wikipedia.org/wiki/Refer%C3%A9ndum_del_gas_de_2004'>Wikipedia ES</a>. <br><br><em>Impacto en el panel</em>: origen fiscal del IDH — variable clave <code>idh_agro_asignado</code> 2006+.","media/pre_2006/hito_12.jpg","Wikimedia Commons / Presidencia Bolivia / CC-BY","Carlos Mesa convocó el referéndum 2004",,"","Eventos","","referendum|gas|idh|2004|carlos_mesa"
2004,10,8,,,,,,"8 octubre 2004","Ley 2878 — Promoción y Apoyo al Riego","La <strong>Ley 2878 de Promoción y Apoyo al Sector Riego para la Producción Agropecuaria y Forestal</strong>, promulgada el 8 de octubre de 2004 bajo Carlos Mesa, creó el <strong>Servicio Nacional de Riego (SENARI)</strong> y los Servicios Departamentales de Riego (SEDERIs). Reconoció los <em>usos y costumbres</em> del agua de riego como derecho colectivo de comunidades campesinas e indígenas, resolviendo parcialmente la tensión abierta en 2000. <br><br>La ley definió el Registro de fuentes de agua de riego y los Planes Directores de Cuenca. Bolivia tenía apenas ~226,000 ha bajo riego en 2004 (6% del área cultivada); la ley buscaba expandir a 400,000 ha. Fue la base del posterior programa MI RIEGO (2011+). <br><br>Fuente: <a href='https://www.lexivox.org/norms/BO-L-2878.html'>LexiVox Ley 2878</a>. <br><br><em>Impacto en el panel</em>: creación de <code>inversion_riego_senari</code>, <code>ha_riego_nuevas</code>.","media/pre_2006/hito_13.jpg","Wikimedia Commons / CC-BY-SA","Canal de riego campesino en valle boliviano",,"","Leyes","","riego|senari|ley_2878|2004"
2005,5,17,,,,,,"17 mayo 2005","Ley 3058 de Hidrocarburos — origen del IDH","La <strong>Ley 3058 de Hidrocarburos</strong>, promulgada el 17 de mayo de 2005 tras la renuncia parcial de Mesa, creó el <strong>Impuesto Directo a los Hidrocarburos (IDH)</strong> del 32% sobre la producción (complementario al 18% de regalías). El IDH se distribuye entre prefecturas, municipios, universidades y el TGN bajo una fórmula que destina un porcentaje a 'desarrollo productivo' rural. <br><br>Aunque promulgada en el período pre-MAS, define la columna vertebral fiscal de todo el periodo posterior. Para el APER, el IDH es la principal fuente extrapresupuestaria de inversión agropecuaria desde 2006, financiando MI AGUA, MI RIEGO y Soberanía Alimentaria. <br><br>Fuente: <a href='https://www.lexivox.org/norms/BO-L-3058.html'>LexiVox Ley 3058</a>. <br><br><em>Impacto en el panel</em>: origen de <code>idh_total</code>, <code>idh_agro_municipios</code>, inflexión en <code>inversion_agro_pct_gdp</code> post-2006.","media/pre_2006/hito_14.jpg","Wikimedia Commons / YPFB / CC-BY","Infraestructura de hidrocarburos — base del IDH",,"","Leyes","","idh|hidrocarburos|ley_3058|2005"
2005,12,18,,,,,,"18 diciembre 2005","Elecciones generales — triunfo del MAS","El <strong>18 de diciembre de 2005</strong>, Evo Morales Ayma y el Movimiento al Socialismo (MAS-IPSP) ganaron la elección presidencial con <strong>53.74%</strong> — la primera mayoría absoluta en la Bolivia democrática desde 1982. Álvaro García Linera fue electo vicepresidente. Morales, ex-dirigente cocalero del Chapare, fue el primer presidente indígena de Bolivia. <br><br>La campaña articuló demandas de reforma agraria profunda (ampliación del saneamiento INRA, reversión de latifundios), nacionalización de hidrocarburos y cambio constitucional. Cierra el ciclo neoliberal 1985-2005 y abre el ciclo MAS (2006-2019). Toma de posesión: 22 de enero de 2006. <br><br>Fuente: Corte Nacional Electoral; <a href='https://es.wikipedia.org/wiki/Elecciones_generales_de_Bolivia_de_2005'>Wikipedia ES</a>. <br><br><em>Impacto en el panel</em>: quiebre estructural <code>post_2006</code>; todas las variables de política agro cambian de régimen.","media/pre_2006/hito_15.jpg","Wikimedia Commons / Agência Brasil / CC-BY-3.0-BR","Evo Morales poco después de su elección",,"","Eventos","","elecciones|mas|evo_morales|2005|fin_neoliberal"
2006,1,22,,2019,11,10,,"2006-2019 Era Morales","Era Evo Morales Ayma","Primer presidente indígena de Bolivia (22 ene 2006 - 10 nov 2019). 14 años de gobierno del MAS-IPSP definieron el giro más profundo de la política agropecuaria boliviana en medio siglo: creación del Ministerio de Desarrollo Rural y Tierras (MDRyT), reconducción comunitaria de la reforma agraria (Ley 3545), reconocimiento constitucional de la soberanía alimentaria (arts. 405-408 CPE 2009), consolidación de EMAPA, INIAF y BDP como brazos productivos estatales, y una agenda paralela de legalización progresiva del desmonte (Leyes 337, 741, DS 3973) que culmina con los incendios de 2019. Este bloque temporal es el núcleo del APER: el gasto público agropecuario se multiplica varias veces por el ciclo del gas (IDH) y reorganiza la arquitectura institucional de CRIAR, EMPODERAR, PAR, Mi Riego, Mi Agua.","media/morales_2006_2019/hito_16.jpg","Agencia Brasil / Wikimedia","Evo Morales Ayma",,"era","","#8B2E2E","era|morales|MAS"
2006,1,22,,,,,,"22 ene 2006","Posesión de Evo Morales y creación del MDRyT","Evo Morales Ayma asume la presidencia el 22 de enero de 2006 tras ganar con 53,7% en diciembre de 2005. Casi simultáneamente, la Ley 3351 de Organización del Poder Ejecutivo (21 feb 2006) y su reglamento DS 28631 (8 mar 2006) reorganizan el gabinete: el antiguo Ministerio de Asuntos Campesinos y Agropecuarios se transforma en <b>Ministerio de Desarrollo Rural, Agropecuario y Medio Ambiente</b>, antecesor directo del actual MDRyT (Ministerio de Desarrollo Rural y Tierras, formalizado posteriormente por el DS 29894 de febrero 2009 bajo la nueva CPE). Esta reestructuración unifica bajo un mismo paraguas tierras, agricultura, bosques y coca, y es el punto de partida del nuevo modelo de gasto sectorial. Fuente primaria: Gaceta Oficial, DS 28631/2006 y DS 29894/2009. Vínculo con panel: se observa salto estructural en la clasificación COFOG/funcional 04.2 (agricultura) y aparición del MDRyT como ejecutor principal del gasto agropecuario en el panel.","media/morales_2006_2019/hito_17.jpg","Wikimedia Commons","Posesión de Evo Morales",,"","Institucional","","posesion|MDRyT|gabinete"
2006,6,16,,,,,,"16 jun 2006","Plan Nacional de Desarrollo """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Bolivia Digna, Soberana, Productiva""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""","El PND presentado el 16 de junio de 2006 y formalmente aprobado por DS 29272 del 12 de septiembre de 2007 es la <i>carta de navegación</i> macro del primer gobierno Morales. Cuatro pilares (Bolivia Digna, Democrática, Productiva, Soberana) reordenan la política de gasto: el capítulo productivo introduce la lógica de <b>Revolución Rural, Agraria y Forestal</b>, impulsa la Nacionalización de Hidrocarburos (1 mayo 2006) como fuente de renta para la política rural, y sienta la doctrina del """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Vivir Bien"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" que luego se materializará en la CPE 2009, la Ley 071 y la Ley 300. Para el APER marca el quiebre conceptual: la agricultura deja de ser tratada como sector subordinado a la apertura exportadora y pasa a ser instrumento de soberanía alimentaria. Fuente primaria: DS 29272, Gaceta Oficial.","media/morales_2006_2019/hito_18.jpg","Ministerio de Planificación del Desarrollo","Carátula del PND 2006-2011",,"","Institucional","","PND|vivir_bien|planificacion"
2006,11,28,,,,,,"28 nov 2006","Ley 3545 — Reconducción Comunitaria de la Reforma Agraria","Promulgada el 28 de noviembre de 2006, la Ley 3545 modifica la Ley 1715 (INRA, 1996) y reorienta el saneamiento de tierras hacia un enfoque comunitario-indígena. Incorpora el cumplimiento estricto de la Función Económico-Social (FES) como condición para mantener la propiedad agraria, establece procedimientos expeditos de saneamiento para pequeña propiedad y TCO, prioriza la titulación conjunta a mujeres y define sanciones por incumplimiento (reversión de tierras). Es el instrumento que permitió, entre 2006 y 2013, titular más de 65 millones de hectáreas (incluyendo TCO/TIOC) y tensionó la relación Estado-agroindustria del oriente. Fuente primaria: Gaceta Oficial, Ley 3545 del 28/11/2006. Vínculo con panel: variable de superficie saneada por departamento (INRA) y correlación con gasto de transferencias a comunidades.","media/morales_2006_2019/hito_19.jpg","INRA Bolivia","Ley 3545 - portada oficial",,"","Leyes","","tierras|reforma_agraria|INRA|FES"
2007,1,1,,,,,,"1 ene 2007","Creación del Banco de Desarrollo Productivo (BDP)","El DS 28999 del 1 de enero de 2007 transforma NAFIBO S.A.M. (Nacional Financiera Boliviana, creada por Ley 1670/1995) en el <b>Banco de Desarrollo Productivo — Sociedad Anónima Mixta (BDP-SAM)</b>, brazo financiero de segundo piso del Estado para el crédito productivo en el marco del PND. Propiedad: 80% Estado boliviano, 20% CAF. Opera mediante IFI (Instituciones Financieras Intermediarias) colocando crédito productivo sectorial con tasas subsidiadas. Desde 2007 el BDP se convierte en uno de los principales canalizadores de crédito agropecuario estatal y complementa la banca de fomento privada regulada luego por la Ley 393 (2013). Fuente primaria: DS 28999/2007. Vínculo con panel: variable bcb_cred_agro y cartera BDP-productivo.","media/morales_2006_2019/hito_20.jpg","BDP-SAM","Memoria BDP 2009",,"","Institucional","","BDP|credito|NAFIBO"
2007,8,15,,,,,,"15 ago 2007","DS 29230 — Creación de EMAPA","El Decreto Supremo 29230 del 15 de agosto de 2007 crea la <b>Empresa de Apoyo a la Producción de Alimentos (EMAPA)</b> como empresa pública bajo tuición del entonces Ministerio de Desarrollo Rural, Agropecuario y Medio Ambiente. Misión: apoyar al productor agropecuario nacional con acopio a precio justo, provisión de insumos (semilla, urea) y comercialización de productos estratégicos (trigo, maíz, arroz, soya) para estabilizar precios internos y garantizar abastecimiento. EMAPA se convierte, junto con el BDP, en el principal instrumento de intervención directa del Estado en mercados agroalimentarios y es uno de los actores clave del gasto agropecuario desde 2008 en adelante. Modificado por DS 29710 (sep 2008) y DS 2095 (sep 2014). Fuente primaria: DS 29230/2007. Vínculo con panel: emapa_acopio, emapa_creditos_insumos, precios al productor trigo/arroz.","media/morales_2006_2019/hito_21.jpg","EMAPA","Informe de gestión EMAPA",,"","Institucional","","EMAPA|empresa_publica|precios"
2007,11,28,,,,,,"28 nov 2007","Ley 3791 — Renta Dignidad","La Ley 3791 del 28 de noviembre de 2007 crea la <b>Renta Universal de Vejez (Renta Dignidad)</b>, pensión no contributiva para personas de 60+ años, operativizada por DS 29400 (29 dic 2007). Financiada con 30% del Impuesto Directo a los Hidrocarburos (IDH) de Prefecturas, Municipios, Fondo Indígena y TGN. Pagos inician en febrero 2008 usando FFAA y Ministerio de la Presidencia para coberturar áreas rurales. Aunque no es política agropecuaria estricta, tiene impacto directo sobre los hogares rurales: estudios del BCB muestran reducción de pobreza rural e incremento de consumo alimentario en hogares campesinos con adultos mayores. Es el primer gran mecanismo de transferencia monetaria a economías rurales. Fuente primaria: Gaceta Oficial, Ley 3791.","media/morales_2006_2019/hito_22.jpg","APS Bolivia","Ley 3791 Renta Dignidad",,"","Leyes","","transferencias|renta_dignidad|IDH"
2008,6,25,,,,,,"25 jun 2008","DS 29611 — Creación del INIAF","El DS 29611 del 25 de junio de 2008 crea el <b>Instituto Nacional de Innovación Agropecuaria y Forestal (INIAF)</b> como institución pública descentralizada bajo tuición del MDRyT. Absorbe funciones y patrimonio del Programa Nacional de Semillas (PNS), UCPSA y CNPSH y cierra operativamente el anterior SIBTA (Sistema Boliviano de Tecnología Agropecuaria). El INIAF es el ente rector del Sistema Nacional de Innovación Agropecuaria y Forestal (SNIAF) y autoridad competente en certificación de semillas, extensión, investigación, asistencia técnica y conservación de recursos genéticos (agrobiodiversidad). Su creación llena el vacío dejado por el desmantelamiento del IBTA en los 90s y es pieza central de la Revolución Productiva Comunitaria. Fuente primaria: DS 29611/2008. Vínculo con panel: gasto_iniaf, certificación de semilla, gasto I+D agropecuario.","media/morales_2006_2019/hito_23.jpg","INIAF Bolivia","Logo INIAF",,"","Institucional","","INIAF|investigacion|semillas|extension"
2009,2,7,,,,,,"7 feb 2009","Nueva Constitución Política del Estado — Soberanía Alimentaria","Promulgada el 7 de febrero de 2009 tras referéndum aprobatorio del 25 de enero (61,4% sí), la nueva CPE funda el <b>Estado Plurinacional de Bolivia</b>. Los artículos 405-408 consagran el <b>desarrollo rural integral sustentable</b> como política de Estado. El art. 405 obliga al Estado a planes integrales agropecuarios, artesanales, forestales y turísticos. El art. 407 establece la <b>soberanía y seguridad alimentaria</b> como objetivos prioritarios, con protección especial a pequeños/medianos productores frente a intercambio inequitativo. El art. 408 prohíbe expresamente la producción, importación y comercialización de transgénicos que afecten al ecosistema boliviano (prohibición que será progresivamente erosionada por DS posteriores). Junto con la Ley 3545 y el PND, la CPE es la arquitectura fundacional del modelo agropecuario MAS. Fuente primaria: CPE 2009, Gaceta Oficial.","media/morales_2006_2019/hito_24.jpg","Wikimedia Commons","CPE 2009",,"","Leyes","","constitucion|soberania_alimentaria|transgenicos"
2010,12,21,,,,,,"21 dic 2010","Ley 071 — Derechos de la Madre Tierra","La Ley Corta 071 del 21 de diciembre de 2010 reconoce a la <b>Madre Tierra como sujeto colectivo de interés público</b>, titular de derechos propios (vida, diversidad, agua, aire limpio, equilibrio, restauración, vivir libre de contaminación). Consecuencia directa de la Conferencia Mundial de los Pueblos sobre el Cambio Climático celebrada en Tiquipaya (19-22 abril 2010) convocada por Bolivia tras el fracaso de Copenhague 2009. Aunque programática (10 artículos), es la primera ley del mundo en reconocer derechos a la naturaleza y marca doctrinariamente la agenda ambiental boliviana. Se complementa dos años después con la Ley 300 que la operativiza. Fuente primaria: Ley 071, Gaceta Oficial.","media/morales_2006_2019/hito_25.jpg","Wikimedia Commons","Representación Pachamama",,"","Leyes","","madre_tierra|ambiental|pachamama"
2011,6,18,,2019,11,10,,"2011-2019","Programa Mi Agua / MIAGUA I-V","El <b>Programa Más Inversión para el Agua (MIAGUA)</b> lanzado en 2011 es el mayor programa de inversión rural de la era Morales en agua y riego. MIAGUA I (2011-2015) financiado con préstamo CAF de USD 93,5 millones; fases II-V sumaron adicional CAF+BID+FONPLATA. Acumulado: 176.144 conexiones domiciliarias, 7.957 piletas públicas y 43.035 hectáreas bajo riego, beneficiando a ~359.000 familias. El subprograma <b>Mi Riego</b> (desde 2014, administrado por la UCEP Mi Riego del MDRyT) se especializa exclusivamente en riego agropecuario. Es el programa insignia del enfoque """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""agua como derecho"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" combinado con aumento de productividad agrícola. Fuente primaria: DS 0831/2011, contratos CAF. Vínculo con panel: inversión_riego, hectáreas con riego (ENA).","media/morales_2006_2019/hito_26.jpg","CAF","Evaluación ex-post MIAGUA IV",,"","Programas","","miagua|mi_riego|CAF|riego"
